,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
0,200810693T,FEDERATION DE RECHERCHE MATHEMATIQUES DES PAYS DE LOIRE,,2007,Structures Fédératives de Recherche,3,3,http://www.fpl.math.cnrs.fr/,2 rue de la Houssinière,44322,NANTES CEDEX 3,HERAU,Frédéric,DIR,FR 2962;FR 2962;FR 2962;;;,Ecole Centrale de Nantes;Université Bretagne Sud;Centre national de la recherche scientifique;Université Angers;Le Mans Université;Nantes Université,EC. CENTRALE NANTES;BRETAGNE-SUD;CNRS;ANGERS;LE MANS;Nantes Université,AUT_ETAB;UNIV;EPST;UNIV;UNIV;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Université;Université;Université,0440100V;0561718N;0753639Y;0490970N;0720916E;0442953W,19440100600011;19561718800600;18008901303720;19490970100303;19720916600010;13002974700016,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,200014561G;200012173L;199612400A,,,,,,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810693T&PUBLIC=OK,
1,200412238P,INSTITUT DE RECHERCHE EN GÉNIE CIVIL ET MÉCANIQUE,GeM,2004,Unité mixte,22,2,http://gem.ec-nantes.fr,1 rue de la Noë,44321,NANTES CEDEX 3,JACQUEMIN;LOUKILI;AMIRI;FRANCOIS,Frédéric;Ahmed;Ouali;Marc,DIR-ADJ;Directeur;dir-adjoint;dir-adjoint,UMR 6183;UMR 6183;UMR 6183,Ecole Centrale de Nantes;Centre national de la recherche scientifique;Nantes Université,EC. CENTRALE NANTES;CNRS;Nantes Université,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0440100V;0753639Y;0442953W,19440100600011;18008901303720;13002974700016,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,200015981A;199613764H;199613763G,fusion;fusion;fusion,F;F;F,2004;2004;2004,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200412238P&PUBLIC=OK,grid.503214.1
2,200412248A,BIOLOGIE ET ECOLOGIE DES ECOSYSTEMES MARINS PROFONDS,BEEP,2004,Unité mixte,22,2,http://wwz.ifremer.fr/umr6197,Z.I de la Pointe du Diable,29280,PLOUZANE,SARRADIN;GESLIN,Pierre-Marie;Claire,Directeur;dir adjoint,UMR 6197;UMR 6197;,Université de Brest;Institut Francais de Recherche pour l'Exploitation de la Mer;Centre national de la recherche scientifique,BREST;IFREMER;CNRS,UNIV;EPIC;EPST,Université;Organismes de type EPIC;Organismes de type EPST,0290346U;0922262J;0753639Y,19290346600014;33071536800032;18008901303720,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,201122280Z,200810872M,199213368V,intégration,I,2022,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200412248A&PUBLIC=OK,
3,200410654T,Fédération de recherche des unités de mathématiques de Marseille,FRUMAM,2001,Structures Fédératives de Recherche,3,3,,3 place Victor Hugo - case 39,13331,MARSEILLE CEDEX 03,PICHON,Anne,DIR,;;FR 2291;;,Université de Toulon;Université Avignon et Pays du Vaucluse;Centre national de la recherche scientifique;Université Aix-Marseille;Ecole Centrale de Marseille,TOULON;AVIGNON;CNRS;AIX-MARSEILLE;EC. CENTRALE MARSEILLE,UNIV;UNIV;EPST;UNIV;AUT_ETAB,Université;Université;Organismes de type EPST;Université;Autres établissements ESR,0830766G;0840685N;0753639Y;0134009M;0133774G,19830766200017;19840685200204;18008901303720;13001533200013;19133340000015,TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,201420768T;201220252R;199613757A;199613747P,,,,,,1;2,Mathématiques et leurs interactions;Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410654T&PUBLIC=OK,
4,200810679C,Physique et Chimie du Vivant,FR PCV,2004,Structures Fédératives de Recherche,3,3,http://fr2708.cnrs.fr,Rue de Chartres,45067,ORLEANS CEDEX 2,MARTIN,Olivier,DIR,;FR 2708,Université Orléans;Centre national de la recherche scientifique,ORLEANS;CNRS,UNIV;EPST,Université;Organismes de type EPST,0450855K;0753639Y,19450855200016;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,201220206R;196717612S,,,,,,4;5,"Chimie;Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810679C&PUBLIC=OK,
5,200510681T,"Institut de Chimie Moléculaire de Paris Centre, organique, inorganique et biologique",,2005,Structures Fédératives de Recherche,3,3,http://www.fr2769.upmc.fr/,4 place Jussieu,75252,PARIS CEDEX 05,PEREZ LUNA,Alejandro,Directeur,FR 2769;FR 2769;;;;,Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres;Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech;Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Ecole Normale Supérieure Paris,CNRS;SORBONNE UNIV.;PSL;ENS CHIM. PARIS;ESPCI PARIS;ENS PARIS,EPST;UNIV;UNIV;AUT_ETAB;AUT_ETAB;AUT_ETAB,Organismes de type EPST;Université;Université;Autres établissements ESR;Autres établissements ESR;Autres établissements ESR,0753639Y;0755890V;0756036D;0753375L;0753429V;0753455Y,18008901303720;13002338500011;13002614900018;13002142100016;20000068500012;19753459700012,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,201420753B;201119722U;200919226N;200919210W;200512549Y;199812965F,,,,,,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200510681T&PUBLIC=OK,grid.457012.5
7,200310841A,Observatoire des sciences de l'univers de Grenoble,OSUG,1985,Structures Fédératives de Recherche,3,3,http://www.osug.fr/,Bâtiment OSUG - D 122 rue de la Piscine,38400,ST MARTIN D HERES,COTTE;BONAL;JACOBI;VOISIN;MALBET,Nathalie;Lydie;Hans Werner;Didier;Fabien,Directrice;Directrice adjointe;Directeur adjoint;Directeur adjoint;Directeur adjoint,UAR 832;UMS 222;UMS 1484;UMS 832;UMS 832;UMS 832;UMS 832;UMS 832;UMS 832,"Centre national de la recherche scientifique;Institut de recherche pour le developpement;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université Grenoble Alpes;Ecole Nationale Supérieure Météorologie Toulouse;Institut polytechnique de Grenoble;Université Savoie Chambéry;Météo France;Université Gustave Eiffel",CNRS;IRD;INRAE;GRENOBLE ALPES;E.N.METEO.TLSE;GRENOBLE INP;CHAMBERY;METEO;UNIV.G.EIFFEL,EPST;EPST;EPST;UNIV;AUT_ETAB;AUT_ETAB;UNIV;PRIVE;UNIV,Organismes de type EPST;Organismes de type EPST;Organismes de type EPST;Université;Autres établissements ESR;Autres établissements ESR;Université;Société de droit privé française;Université,0753639Y;0133973Y;;0383546Y;0312069F;0381912X;0730858L;;0772894C,18008901303720;18000602500159;18007003901803;13002608100013;18006003000400;19381912500017;19730858800015;18006003002117;13002612300013,TUTE;TUTE;TUTE;TUTE;PART;PART;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant,201722374A;201119454C;201119432D;200710869N;200511874P;199511994N;199511963E,,,,,,2;3;7;8;10,"Physique;Sciences de la terre et de l'univers, espace;Sciences de la société;Sciences pour l'ingénieur;Sciences agronomiques et écologiques",PE9,"Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310841A&PUBLIC=OK,
8,200810873N,Observatoire des Sciences de l'Univers en région Centre-Val de Loire,OSUC,2008,Structures Fédératives de Recherche,3,3,http://www.univ-orleans.fr/osuc/,1 A rue de la Férolerie,45071,ORLEANS CEDEX 2,MOREIRA,Manuel,Directeur,UMS 3116;UAR 3116;UMS 3116;UMS 3116,Université Orléans;Centre national de la recherche scientifique;Observatoire Paris;Université Paris sciences et lettres,ORLEANS;CNRS;OBSV.PARIS;PSL,UNIV;EPST;AUT_ETAB;UNIV,Université;Organismes de type EPST;Autres établissements ESR;Université,0450855K;0753639Y;0753496T;0756036D,19450855200016;18008901303720;19753496900013;13002614900018,TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant,201220223J;201220213Y;199519805D,,,,,,3,"Sciences de la terre et de l'univers, espace",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810873N&PUBLIC=OK,
9,200012121E,Génie Enzymatique et Cellulaire. Reconnaissance Moléculaire et Catalyse,GEC,2013,Unité mixte,22,2,http://www.umr7025-gec.fr/,"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, CENTRE DE RECHERCHES - BAT F, CS 60319",60203,COMPIEGNE CEDEX,HAUPT;SARAZIN,Karsten;Catherine,DIR;Responsable Amiénois,;UMR 7025;UMR 7025,Université de Technologie de Compiègne;Centre national de la recherche scientifique;Université Picardie Jules-Verne Amiens,UT COMPIEGNE;CNRS;AMIENS,UNIV;EPST;UNIV,Université;Organismes de type EPST;Université,0601223D;0753639Y;0801344B,19601223100169;18008901303720;19801344300017,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012121E&PUBLIC=OK,
10,200012185Z,LABORATOIRE DE PLANETOLOGIE ET GEOSCIENCES,LPG,2000,Unité mixte,22,2,https://lpg-umr6112.fr,2 Rue de la Houssinière,44322,NANTES CEDEX 3,CHOBLET;LANGLAIS;METZGER,GAEL;Benoît;Edouard,;Directeur;Directeur-adjoint,UMR 6112;UMR 6112;UMR 6112;UMR 6112;UMR 6112;UMR 6112,Université Angers;Le Mans Université;Centre national de la recherche scientifique;Nantes Université;Université La Rochelle;Centre National d'Etude Spatiales,ANGERS;LE MANS;CNRS;Nantes Université;LA ROCHELLE;CNES,UNIV;UNIV;EPST;UNIV;UNIV;EPIC,Université;Université;Organismes de type EPST;Université;Université;Organismes de type EPIC,0490970N;0720916E;0753639Y;0442953W;0171463Y;0752743Z,19490970100303;19720916600010;18008901303720;13002974700016;19170032700015;77566591200082,TUTE;TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,,201420664E,,,,,3,"Sciences de la terre et de l'univers, espace",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012185Z&PUBLIC=OK,
